Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
D,Chase Elliott (23803646),Chase Elliott,23803646,D,10500,Coke Zero Sugar 400,Nasca,45.37
D,Kyle Larson (23803647),Kyle Larson,23803647,D,10400,Coke Zero Sugar 400,Nasca,32.69
D,Ross Chastain (23803648),Ross Chastain,23803648,D,10200,Coke Zero Sugar 400,Nasca,40.54
D,Ryan Blaney (23803649),Ryan Blaney,23803649,D,10000,Coke Zero Sugar 400,Nasca,36.14
D,Joey Logano (23803650),Joey Logano,23803650,D,9800,Coke Zero Sugar 400,Nasca,36.47
D,Tyler Reddick (23803651),Tyler Reddick,23803651,D,9700,Coke Zero Sugar 400,Nasca,25.52
D,Denny Hamlin (23803652),Denny Hamlin,23803652,D,9600,Coke Zero Sugar 400,Nasca,29.07
D,Kyle Busch (23803653),Kyle Busch,23803653,D,9400,Coke Zero Sugar 400,Nasca,37.81
D,Daniel Suarez (23803654),Daniel Suarez,23803654,D,9200,Coke Zero Sugar 400,Nasca,31.78
D,Martin Truex Jr (23803655),Martin Truex Jr,23803655,D,9000,Coke Zero Sugar 400,Nasca,39.46
D,Chase Briscoe (23803656),Chase Briscoe,23803656,D,8800,Coke Zero Sugar 400,Nasca,24.01
D,Christopher Bell (23803657),Christopher Bell,23803657,D,8600,Coke Zero Sugar 400,Nasca,34.8
D,Austin Cindric (23803658),Austin Cindric,23803658,D,8500,Coke Zero Sugar 400,Nasca,26.96
D,William Byron (23803659),William Byron,23803659,D,8400,Coke Zero Sugar 400,Nasca,31.78
D,Alex Bowman (23803660),Alex Bowman,23803660,D,8200,Coke Zero Sugar 400,Nasca,29.07
D,Kevin Harvick (23803661),Kevin Harvick,23803661,D,8000,Coke Zero Sugar 400,Nasca,39.35
D,Bubba Wallace (23803662),Bubba Wallace,23803662,D,7800,Coke Zero Sugar 400,Nasca,25.98
D,Chris Buescher (23803663),Chris Buescher,23803663,D,7700,Coke Zero Sugar 400,Nasca,27.58
D,Ty Gibbs (23803664),Ty Gibbs,23803664,D,7500,Coke Zero Sugar 400,Nasca,16.02
D,Michael McDowell (23803665),Michael McDowell,23803665,D,7300,Coke Zero Sugar 400,Nasca,29.66
D,Brad Keselowski (23803666),Brad Keselowski,23803666,D,7200,Coke Zero Sugar 400,Nasca,28.08
D,Austin Dillon (23803667),Austin Dillon,23803667,D,7000,Coke Zero Sugar 400,Nasca,30.41
D,Erik Jones (23803668),Erik Jones,23803668,D,6900,Coke Zero Sugar 400,Nasca,32.80
D,Aric Almirola (23803669),Aric Almirola,23803669,D,6700,Coke Zero Sugar 400,Nasca,27.56
D,Daniel Hemric (23803670),Daniel Hemric,23803670,D,6500,Coke Zero Sugar 400,Nasca,15.7
D,Justin Haley (23803671),Justin Haley,23803671,D,6400,Coke Zero Sugar 400,Nasca,28.75
D,Ricky Stenhouse Jr (23803672),Ricky Stenhouse Jr,23803672,D,6200,Coke Zero Sugar 400,Nasca,26.63
D,Cole Custer (23803673),Cole Custer,23803673,D,6000,Coke Zero Sugar 400,Nasca,21.47
D,Corey Lajoie (23803674),Corey Lajoie,23803674,D,5800,Coke Zero Sugar 400,Nasca,22.30
D,Ty Dillon (23803675),Ty Dillon,23803675,D,5700,Coke Zero Sugar 400,Nasca,25.62
D,Todd Gilliland (23803676),Todd Gilliland,23803676,D,5500,Coke Zero Sugar 400,Nasca,23.59
D,Noah Gragson (23803677),Noah Gragson,23803677,D,5300,Coke Zero Sugar 400,Nasca,15.36
D,David Ragan (23803678),David Ragan,23803678,D,5100,Coke Zero Sugar 400,Nasca,43.45
D,Harrison Burton (23803679),Harrison Burton,23803679,D,4900,Coke Zero Sugar 400,Nasca,22.17
D,Cody Ware (23803680),Cody Ware,23803680,D,4700,Coke Zero Sugar 400,Nasca,19.18
D,Landon Cassill (23803681),Landon Cassill,23803681,D,4600,Coke Zero Sugar 400,Nasca,25.02
D,BJ McLeod (23803682),BJ McLeod,23803682,D,4500,Coke Zero Sugar 400,Nasca,17.39
